,Customer,Month,Sales,CAM_Value_Add,BM_Value_Add,RM_Value_Add,SH_Value_Add,PH_Value_Add
0,Exports,01-06-2024,140000.0,-8%,0%,-8%,-6%,-9%
1,Domestic,01-06-2024,1548000.0,1%,1%,0%,0%,0%
